Share pledge ratio of controlling shareholders,Pledge ratio of unlimited shares,audit opinion ,Downgrade or negative,Ratio of other receivables to total assets,ROA,Asset liability ratio,Pledge ratio of limited sale shares,ROE,Enterprise age,IsDefault
0.152394917,0.126365665,0.0,0.0,0.013031996,0.046191,0.632901476,0.0,0.129841,11.25833333,0
0.608350758,0.159442785,0.0,0.0,0.013802186,0.121959,0.654379646,0.014873829,0.19055,9.166666667,0
0.499388289,0.15366039,0.0,0.0,0.005863144,0.01557,0.315072808,0.0,0.034949,10.175,0
0.0,0.001284581,0.0,0.0,0.030776011,0.164398,0.490227085,0.0,0.295278,16.49444444,0
0.332565683,0.014729677,0.0,0.0,0.021105634,0.22971,0.555522002,0.232976836,0.598016,9.391666667,0
0.0,0.00781473,0.0,0.0,0.009157053,0.193932,0.210901455,0.0,0.183931,4.788888889,0
0.0,0.015086586,0.0,0.0,0.005113854,0.203055,0.296678351,0.0,0.257383,11.83055556,0
0.097592504,0.006117836,0.0,0.0,0.008852093,0.250321,0.233517729,0.056948092,0.318011,2.208333333,0
0.263986369,0.0,0.0,0.0,0.017560579,0.159337,0.137090207,0.0,0.155464,7.061111111,0
0.641065122,0.0,0.0,0.0,0.003079791,0.127784,0.439745246,0.0,0.196764,4.722222222,0
0.763416768,0.25165856,0.0,0.0,0.013342441,0.133519,0.183115709,0.120954719,0.130679,12.07222222,0
0.148949334,0.082953831,0.0,0.0,0.003299226,0.112651,0.614014334,0.054357404,0.238545,3.619444444,0
0.318291336,0.220650528,0.0,0.0,0.022432201,0.106725,0.497415371,0.0,0.148207,10.90555556,0
0.154525004,0.077907625,0.0,0.0,0.000595846,0.303543,0.458433354,0.0,0.471753,10.25833333,0
0.521595824,0.0,0.0,0.0,0.023652098,0.08934,0.570397467,0.0,0.149396,7.694444444,0
0.999386666,0.0,0.0,0.0,0.002641425,0.209344,0.03630079,0.0,0.197602,23.35277778,0
0.139322476,0.08014225,0.0,0.0,0.004111594,0.192204,0.198047379,0.0,0.184388,5.677777778,0
0.137291879,0.054169564,0.0,0.0,0.004072904,0.168294,0.264362694,0.0,0.20617,7.719444444,0
0.088076574,0.016047996,0.0,0.0,0.002962632,0.098199,0.414509331,0.0,0.139919,8.6,0
0.263815563,0.099634759,0.0,0.0,0.003112366,0.131375,0.527107467,0.0,0.273864,10.16666667,0
0.71681254,0.0,0.0,0.0,0.032187046,0.082087,0.626526256,0.0,0.165814,6.691666667,0
0.234599119,0.046598288,0.0,0.0,0.004049895,0.123066,0.719620091,0.0,0.298283,20.36388889,0
0.721460821,0.0,0.0,0.0,0.020184197,0.062695,0.669629084,0.0,0.135968,2.872222222,0
0.333161514,0.115541348,0.0,0.0,0.000904911,0.081388,0.576409007,0.0,0.145234,9.008333333,0
0.036480845,0.008456969,0.0,0.0,0.002453909,0.068725,0.459355287,0.0,0.156192,4.391666667,0
0.141667498,0.0,0.0,0.0,0.003220162,0.075619,0.51811508,0.0,0.137761,11.20277778,0
0.0,5.06173e-05,0.0,0.0,0.001946052,0.125058,0.329816117,0.0,0.145993,7.347222222,0
0.060779282,0.022578526,0.0,0.0,0.005848015,0.138804,0.270788243,0.0,0.15909,22.56388889,0
0.363024078,0.058970463,0.0,0.0,0.001758347,0.101733,0.482223639,0.0,0.166632,11.63888889,0
0.046100397,0.018322924,0.0,0.0,0.005232871,0.07637,0.662952321,0.0,0.220711,9.286111111,0
0.588168239,0.315742177,0.0,0.0,0.005749106,0.015698,0.627324477,0.0,0.01319,8.594444444,0
0.166673547,0.0,0.0,0.0,0.010921004,0.105803,0.586195992,0.0,0.165665,15.35555556,0
0.022515811,0.0,0.0,0.0,0.007906689,0.181083,0.062432682,0.0,0.181319,5.044444444,0
0.560198021,0.174388794,0.0,0.0,0.012976013,0.13908,0.525323846,0.0,0.234224,11.30833333,0
0.464437168,0.150276729,0.0,0.0,0.001990461,0.162645,0.557942739,0.046104227,0.282401,3.658333333,0
0.240910015,0.157063729,0.0,0.0,0.097592969,0.035852,0.71436425,0.0,0.229263,6.075,0
0.261566097,0.095666867,0.0,0.0,0.001302017,0.149683,0.224921704,0.0,0.183709,4.15,0
0.060314854,0.050820911,0.0,0.0,0.011952519,0.174942,0.411006305,0.001487316,0.209608,11.16666667,0
0.048678259,0.018573558,0.0,0.0,0.002948116,0.04292,0.633059967,0.0,0.098164,19.56388889,0
0.803339583,0.357152555,0.0,0.0,0.002385229,0.067697,0.625720236,0.0,0.131824,21.75833333,0
0.610988548,0.417903736,0.0,0.0,0.004523269,0.260879,0.13097198,0.0,0.285958,8.786111111,0
0.301828886,0.138571821,0.0,0.0,0.005762353,0.167651,0.178578913,0.0,0.156281,6.025,0
0.370447858,0.139292995,0.0,0.0,0.020754568,0.069841,0.712273135,0.0,0.141617,5.005555556,0
0.317743452,0.104820727,0.0,0.0,0.013313859,0.143265,0.317608299,0.0,0.159421,7.805555556,0
0.27507867,0.101061832,0.0,0.0,0.001491516,0.062156,0.611991326,0.0,0.131803,7.925,0
0.592085041,0.008955327,0.0,0.0,0.043973674,0.10024,0.406266087,0.311544449,0.117604,21.94444444,0
0.0,0.0,0.0,0.0,0.030693734,0.103189,0.604636925,0.0,0.176699,4.680555556,0
0.046544581,0.025514082,0.0,0.0,0.029906541,0.106865,0.549163314,0.0,0.182998,13.09444444,0
